INVENTARIO,,,,,,,,,
Fecha de inicio 22/08/2025.,,,,,,,,,
CÓDIGO,PROVEEDOR,DESCRIPCIÓN,STOCK,UBICACIÓN,EQUIVALENCIAS,PRECIO,TOTAL,F. DE CONTROL,
P551856,DONALDSON,,2,I,FS19532 - KC121,,"$0,00",06/07/2026,
P550490,DONALDSON,,4,I,LF17S13 - LF3730,,"$0,00",06/07/2026,
P550220,DONALDSON,,6,I,HF28917 - HX80,,"$0,00",06/07/2026,
P550653,DONALDSON,,2,I,KX182 - FF5684,,"$0,00",06/07/2026,
P550120,DONALDSON,,3,I,FF5053 - KX35D,,"$0,00",06/07/2026,
P550766,DONALDSON,,1,I,LF3605 - OX150D,,"$0,00",06/07/2026,
WFC3,MALHE,FILTRO DE AGUA,1,I,,,"$0,00",06/07/2026,
AC744,PRIX/VOX,,2,I,KX67/2D,,"$0,00",06/07/2026,
HC99,MALHE,FILTRO HIDRAULICO,1,I,,,"$0,00",06/07/2026,
P761108,DONALDSON,FILTRO HIDRAULICO,1,I,HC96  ,,"$0,00",06/07/2026,
P550309,DONALDSON,HF6162 - HX15,1,I,HF6162 - HX15,,"$0,00",06/07/2026,
P551102,DONALDSON,OC40 - LF4112,3,I,OC40 - LF4112,,"$0,00",06/07/2026,
P550639,DONALDSON,FILTRO HIDRAULICO,5,I,LF3977 - OC474,,"$0,00",06/07/2026,
ML1000G,MOTORLINE,FILTRO DE COMBUSTIBLE,3,I,,,"$0,00",06/07/2026,
ML1212G,MOTORLINE,FILTRO DE COMBUSTIBLE,5,I,,,"$0,00",06/07/2026,
ML1280G,MOTORLINE,FILTRO DE COMBUSTIBLE,2,I,,,"$0,00",06/07/2026,
ML5052G,MOTORLINE,FILTRO DE COMBUSTIBLE,2,I,,,"$0,00",06/07/2026,
ML5457G,MOTORLINE,FILTRO DE COMBUSTIBLE,1,I,,,"$0,00",06/07/2026,
ML5421G,MOTORLINE,FILTRO DE COMBUSTIBLE,1,I,,,"$0,00",06/07/2026,
ML3349,MOTORLINE,FILTRO DE ACEITE,3,I,,,"$0,00",06/07/2026,
ML30000,MOTORLINE,FILTRO DE ACEITE,5,I,,,"$0,00",06/07/2026,
ML3345O,MOTORLINE,FILTRO DE ACEITE,3,I,,,"$0,00",06/07/2026,
ML2073W,MOTORLINE,FILTRO DE AGUA,1,I,,,"$0,00",06/07/2026,
FBD75,VOX,FILTRO DE COMBUSTIBLE,1,I,KC188/KC440 ,,"$0,00",06/07/2026,
KL583,PRIX,FILTRO DE COMBUSTIBLE,2,I,AC341 ,,"$0,00",06/07/2026,
KL596,MAHLE,,0,I,,,,06/08/2026,
KL239,VOX,FILTRO DE COMBUSTIBLE,2,I,FS40/7 ,,"$0,00",06/07/2026,
KL582,MAHLE,FILTRO DE COMBUSTIBLE,2,I,,,"$0,00",06/07/2026,
KL63 ,PRIX,FILTRO DE COMBUSTIBLE,3,I,AC314 ,,"$0,00",06/07/2026,
FS41,VOX,FILTRO DE COMBUSTIBLE,3,I,KL238/D,,"$0,00",06/07/2026,
KL100/2,MAHLE,FILTRO DE COMBUSTIBLE,1,I,,,"$0,00",06/07/2026,
OX171/2D,VOX,FILTRO DE ACEITE,3,I,,,"$0,00",06/07/2026,
KX182/1D,MAHLE,SCANIA,1,I,,,,06/08/2026,
KX79D,MAHLE,FILTRO DE COMBUSTIBLE,1,I,,,"$0,00",06/07/2026,
AC763,PRIX,FILTRO DE COMBUSTIBLE,2,I,KX268/D  ,,"$0,00",06/07/2026,
AC763/4,PRIX,FILTRO DE COMBUSTIBLE,2,I,FN953  ,,"$0,00",06/07/2026,
FDB75,VOX,,2,I,,,,06/08/2026,
FN953,VOX,FILTRO DE COMBUSTIBLE,4,I,,,"$0,00",06/07/2026,
KX80/1D,MAHLE,FILTRO DE COMBUSTIBLE,1,I,,,"$0,00",06/07/2026,
KX710D,MAHLE,FILTRO DE COMBUSTIBLE,2,I,,,"$0,00",06/07/2026,
KX24,MAHLE,FILTRO DE COMBUSTIBLE,2,I,,,"$0,00",06/07/2026,
OX161D,MAHLE,FILTRO DE ACEITE,3,I,,,"$0,00",06/07/2026,
HD 932-2 X,MAHLE,FILTRO HIDRAULICO,0,I,,,"$0,00",06/07/2026,
RE62419-JDC,JONH DEREE,FILT. COMBUSTIBLE,1,I,,,"$0,00",06/07/2026,
LX2046,MAHLE,,0,I,,,,06/08/2026,
BL-2156,LANSS,FILTRO DE ACEITE,3,I,OC613  ,,"$0,00",06/07/2026,
AA1395E,PRIX,F.AIRE,1,I,,,"$0,00",06/07/2026,
LA230,MAHLE,F.HABITACULO,0,I,,,"$0,00",06/07/2026,
AL19,PRIX,FILTRO DE ACEITE,2,I,OC60  ,,"$0,00",06/07/2026,
250034-122,SULLAIR,ELEMENTO SEPARADOR I° S.20/16,0,I,,"$1.354,00","$0,00",31/07/2026,
250034-134,SULLAIR,ELEMENTO SEPARADOR II° S.20/16,0,I,,"$1.033,30","$0,00",31/07/2026,
CE3022,VOX,,4,I,,,,06/08/2026,
FBS480/1,VOX,FILTRO DE COMBUSTIBLE,2,I,,,,,
FBD998/KC46,VOX,FILT. COMBUSTIBLE,2,J,,,"$0,00",06/07/2026,
250034-085,SULLAIR,ELEMTO. SEP-1º DEL 20 NEW,1,J,,"$1.597,50","$1.597,50",06/07/2026,
250034-085,P/SERVICIO,ELEMTO. SEP-1º DEL 20 NEW,9,-,,"$1.597,50","$14.377,50",06/07/2026,
02250048-734,SULLAIR,ELEMENTO SEPARADOR Il S.20 New,1,J,,"$1.029,80","$1.029,80",06/07/2026,
02250048-734,P/SERVICIO,ELEMENTO SEPARADOR Il S.20 New,9,-,,"$1.029,80","$9.268,20",06/07/2026,
C-2505,SAKURA,F.ACEITE,1,J,,,"$0,00",06/07/2026,
LE309,VOX,FILTRO DE ACEITE,1,J,,,"$0,00",06/07/2026,
OC175,MAHLE / TECFIL,FILTRO DE ACEITE,2,J,,,"$0,00",06/07/2026,
KC83,MAHLE,F.COMBUSTIBLE,1,J,FF5159 - P550385  ,,"$0,00",06/07/2026,
OC988,MAHLE VOX PRIX,FILTRO DE ACEITE,2,J,AL28/1  LB916   ,,"$0,00",22/07/2026,
KC595,MAHLE,FILT. COMBUSTIBLE,1,J,,,"$0,00",06/07/2026,
KC454,MAHLE,FILT. COMBUSTIBLE,2,J,,,"$0,00",06/07/2026,
KC454,MANN,FILT. COMBUSTIBLE,1,J,WK940/1  ,,"$0,00",06/07/2026,
KC28,MAHLE,FILT. COMBUSTIBLE,1,J,,,"$0,00",06/07/2026,
KC 381,MAHLE,FILT. COMBUSTIBLE,1,J,,,"$0,00",06/07/2026,
KC83,PRIX/VOX,FILT. COMBUSTIBLE,2,J,CFF003  ,,"$0,00",06/07/2026,
KC51,MAHLE,FILT. COMBUSTIBLE,1,J,,,"$0,00",06/07/2026,
KC182,MAHLE,FILT. COMBUSTIBLE,2,J,,,"$0,00",06/07/2026,
KC251,MAHLE,FILT. COMBUSTIBLE,0,J,,,"$0,00",06/07/2026,
KC647D,MAHLE,FILT. COMBUSTIBLE,4,J,,,"$0,00",06/07/2026,
KC647/1,MAHLE,FILT. COMBUSTIBLE,1,J,,,"$0,00",06/07/2026,
KC648/1,MAHLE,FILT. COMBUSTIBLE,2,J,,,"$0,00",06/07/2026,
KC637/1,MAHLE,FILT. COMBUSTIBLE,1,J,,,"$0,00",06/07/2026,
KC637D,MAHLE,FILT. COMBUSTIBLE,2,J,,,"$0,00",06/07/2026,
KC134,MAHLE,FILT. COMBUSTIBLE,1,J,,,"$0,00",06/07/2026,
KC381,MAHLE,FILT. COMBUSTIBLE,1,J,,,"$0,00",06/07/2026,
VP2780,DARMET,FILTRO DE AIRE,0,J,,,"$0,00",06/07/2026,
KC18 ,MAHLE,FILT. COMBUSTIBLE,2,J,,,"$0,00",06/07/2026,
KC118/1,MAHLE,FILT. COMBUSTIBLE,2,J,,,"$0,00",06/07/2026,
KC118/1,MANN,FILT. COMBUSTIBLE,1,J,,,"$0,00",06/07/2026,
KC186,MAHLE,FILT. COMBUSTIBLE,1,J,,,"$0,00",06/07/2026,
KC24,MAHLE,FILT. COMBUSTIBLE,4,J,,,"$0,00",06/07/2026,
KC509,DONALDSON,MAHLE FILT. COMBUSTIBLE,0,J,FF5626  ,,"$0,00",06/07/2026,
KC5,DONALDSON,FILT. COMBUSTIBLE,2,J,,,"$0,00",06/07/2026,
KC440,MAHLE,FILT. COMBUSTIBLE,1,J,KC188,,"$0,00",06/07/2026,
KC636,MAHLE,,1,J,,,,06/08/2026,
KC618,MAHLE,FILT. COMBUSTIBLE,1,J,,,"$0,00",06/07/2026,
OX339/2D,PRIX,FILTRO DE ACEITE,3,J,AL477,,"$0,00",06/07/2026,
OX834D,VOX,FILTRO DE ACEITE,3,J,LE108,,"$0,00",,
OX169D,MAHLE,FILTRO DE ACEITE,2,J,,,"$0,00",06/07/2026,
OX168D,MAHLE,FILTRO DE ACEITE,1,J,,,"$0,00",06/07/2026,
OX169/1D,MAHLE,FILTRO DE ACEITE,1,J,,,"$0,00",06/07/2026,
OX175D,VOX,FILTRO DE ACEITE,2,J,LE119   ,,"$0,00",06/07/2026,
OX388D,MAHLE,FILTRO DE ACEITE,1,J,,,"$0,00",06/07/2026,
OX188,MAHLE,FILTRO DE ACEITE,1,J,,,"$0,00",06/07/2026,
OX153D3,MAHLE,FILTRO DE ACEITE,1,J,,,"$0,00",06/07/2026,
OX562D,MAHLE,,1,J,,,,06/08/2026,
OX16/1D,MAHLE,FILTRO DE ACEITE,1,J,,,"$0,00",06/07/2026,
OX174D,VOX,FILTRO DE ACEITE,3,J,LE2002  ,,"$0,00",06/07/2026,
OX1052D,MAHLE,FILTRO DE ACEITE,2,J,,,"$0,00",06/07/2026,
OC1063,MAHLE,FILTRO DE ACEITE,1,J,,,"$0,00",06/07/2026,
OC324,MAHLE,FILTRO DE ACEITE,3,J,,,"$0,00",06/07/2026,
OC370,MAHLE,FILTRO DE ACEITE,1,J,,,"$0,00",06/07/2026,
OC282,MAHLE,FILTRO DE ACEITE,1,J,,,"$0,00",06/07/2026,
OC18,MAHLE,FILTRO DE ACEITE,3,J,,,"$0,00",06/07/2026,
OC1738,MAHLE,FILTRO DE ACEITE,1,J,,,"$0,00",06/07/2026,
OC502,MAHLE,,6,J,VOX LB283 - PRIX AL102 - TECFIL PSL283,,"$0,00",06/07/2026,
OC60,VOX,FILTRO DE ACEITE,0,J,LB962  ,,"$0,00",06/07/2026,
OC522,MAHLE,FILTRO DE ACEITE,1,J,,,"$0,00",06/07/2026,
OC501,MAHLE,FILTRO DE ACEITE,3,J,,,"$0,00",06/07/2026,
OC235,MAHLE,FILTRO DE ACEITE,3,J,,,"$0,00",06/07/2026,
OC1009,MAHLE,FILTRO DE ACEITE,3,J,,,"$0,00",06/07/2026,
OC26,MAHLE,FILTRO DE ACEITE,2,J,,,"$0,00",06/07/2026,
OC42,MAHLE,FILTRO DE ACEITE,1,J,,,"$0,00",06/07/2026,
OC41,MAHLE,FILTRO DE ACEITE,0,J,WD962  ,,"$0,00",06/07/2026,
OC67,MAHLE,FILTRO DE ACEITE,2,J,,,"$0,00",06/07/2026,
OC1253,MAHLE,FILTRO DE ACEITE,3,J,,,"$0,00",06/07/2026,
HLP5053,VOX,FILTRO DE AIRE,0,J,,,"$0,00",06/07/2026,
LB55,VOX,,5,J,LB55 - AL97 -  OC194 - OC195 - OC196,,"$0,00",06/07/2026,
LB300,VOX,FILTRO DE ACEITE,0,J,LF3000  ,,"$0,00",06/07/2026,
AL470/4,PRIX,FILTRO DE ACEITE,2,J,OX389/1D,,"$0,00",06/07/2026,
AL12,MAHLE,,6,J,PRIX-1374,,"$0,00",06/07/2026,
AL26,MAHLE,FILTRO DE AIRE,1,J,,,"$0,00",06/07/2026,
OC534,VOX,FILTRO DE ACEITE,1,J,LB134 ,,"$0,00",06/07/2026,
OC47,VOX,FILTRO DE ACEITE,1,J,LB562 ,,"$0,00",06/07/2026,
OC90,VOX,FILTRO DE ACEITE,5,J,LB619  ,,"$0,00",06/07/2026,
OX171/2D,VOX/PRIX,FILTRO DE ACEITE,2,J,AL473  ,,"$0,00",06/07/2026,
AL97,ECHANIZ,FILTRO DE ACEITE,0,J,,,"$0,00",06/07/2026,
LE677,VOX,,0,J,OX388D,,,06/08/2026,
1002-4663,SULLAIR,ELEM.SEPARADOR,2,J,,"$2.209,20","$4.418,40",06/07/2026,SEPARADO A COLORTEX
932000 10B NE,,,1,,,,"$0,00",06/07/2026,
241772,SULLAIR,FILTRO CEDAZO DE RETORNO,1,,,"$143,80","$143,80",06/07/2026,
´046701,SULLAIR,ELEMENTO FILTRO DE ACEITE,1,,,"$161,80","$161,80",06/07/2026,
4460465-JLG,SULLAIR,CONECTOR HEMBRA,9,,,,"$0,00",06/07/2026,
LXS41/1,,FILTRO DE AIRE SECUNDARIO,1,,,,"$0,00",06/07/2026,
AF25484,FLEETGUARD,FILTRO DE AIRE SECUNDARIO,2,,,,"$0,00",06/07/2026,
AC-19080,ECHANIZ,FILTRO DE COMBUSTIBLE,1,,,,"$0,00",06/07/2026,MUNI MALAGUEÑO
1001129845-JLG,SULLAIR,CONTROL MODULE SYSTEM 324RS,1,,,"$2.258,30","$2.258,30",06/07/2026,
02250106-789,IMP,OIL SEPARADOR,2,,,"$792,90","$1.585,80",06/07/2026,
250030-758,SULLAIR,ACEITE AWF,0,,,"$2.851,30","$0,00",06/07/2026,
34-08324,PELLACANI,ACTUADOR,0,,,,"$0,00",06/07/2026,
1006-3296,SULLAIR,KIT ELEMENTO SEPARADOR LS110,0,,,"$1.960,10","$0,00",06/07/2026,
45673,SULLAIR,CUBO DE ACOPLE L.UNIDAD S.10,0,,,"$619,20","$0,00",06/07/2026,
S00301-238,SULLAIR,CAPACITOR CORILUX 83MF 450V,0,,,"$45,00","$0,00",06/07/2026,
02250224-269,SULLAIR,ENFRIADOR AIR/ACEITE 7500,0,,,"$4.100,90","$0,00",06/07/2026,
0400055-JLG,SULLAIR,BATERIA 6V 375A**7016177/N,0,,,"$564,00","$0,00",06/07/2026,
02250242-636,SULLAIR,ELEM SEPAR p/LS160,0,,227-748,"$2.131,20","$0,00",06/07/2026,
250027-201,SULLAIR,BULBO DE TEMP.AGUA,0,,40653,"441,2","$0,00",06/07/2026,
`001104,SULLAIR,BULBO TEMPERATURA ACEITEP/185,0,,,"582,8","$0,00",06/07/2026,
1001092456-JLG,JLG,MODULO CONTROL P/2030 ES,0,,,"$3.408,60","$0,00",06/07/2026,
HP9834,,FILTRO DE AIRE,0,,,,"$0,00",06/07/2026,
HK301,,FILTRO HAB,0,,,,"$0,00",06/07/2026,
250006-938,SULLAIR,VALVULA DE SEGURIDAD,0,,,"$165,20","$0,00",06/07/2026,
042034RA,SULLAIR,VLV DRENAJE OSMI,0,,,"353,5","$0,00",06/07/2026,
70031074-TRA,SULLAIR,DISCO P/10042,0,,,130,"$0,00",06/07/2026,
70030307-TRA,SULLAIR,SEPARADOR,0,,,"58,5","$0,00",06/07/2026,
1319612-TRA,SULLAIR,ARO DE PISTON 30X2,0,,,418,"$0,00",06/07/2026,
1319593-TRA,SULLAIR,ORING 52X3,0,,,"42,6","$0,00",06/07/2026,
1319594-TRA,SULLAIR,ORING 115X3,0,,,"62,9","$0,00",06/07/2026,
8036190-TRA,SULLAIR,RODAMIENTO,0,,,"100,5","$0,00",06/07/2026,
02250235-913,SULLAIR,CUERPO DE VLV. TERMOSTATICA P1,0,,,"$485,60","$0,00",06/07/2026,
02250087-070,SULLAIR,CODO 90ª SAE 1,0,,,"$103,00","$0,00",06/07/2026,
02250093-806,SULLAIR,CONECTOR SAE 1 x 1 1/4,0,,,"$108,60","$0,00",06/07/2026,
02250098-622,SULLAIR,MANGUERA HID. 1 X 35,0,,,"$559,80","$0,00",06/07/2026,
826502-215,SULLAIR,O-RING VITON 1/8 X 1 1/16,0,,,"$5,20","$0,00",06/07/2026,
AC7983,PRIX,FILTRO DE COMBUSTIBLE,0,,,,"$0,00",06/07/2026,
241581,SULLAIR,VALVULA PRESION MINIMA,0,,,"$1.223,10","$0,00",06/07/2026,
`042582,SULLAIR,INDICADOR DE TEMPERATURA 2,0,,,"$672,80","$0,00",06/07/2026,
02250166-230,SULLAIR,KIT SEAL 5 INLET VALVE REPAI,0,,,"$1.719,20","$0,00",06/07/2026,
LX261,VOX,FILTRO DE ACEITE,0,,,,"$0,00",06/07/2026,
EF938,LANS,FILTRO DE AIRE,0,,,,"$0,00",06/07/2026,
EF939,LANS,FILTRO DE AIRE,0,,,,"$0,00",06/07/2026,
02250221-211,SULLAIR,VLV MEMBRANE,0,,,"$774,90","$0,00",06/07/2026,
8320265-TRA,Manip. SKY TRAK,ELEMTO.FILTRO HIDRAULICO,0,,,"$64,10","$0,00",06/07/2026,
02250145-625,SULLAIR NACIONAL,FLEXIBLE DESCARGA LS20,0,,,"$881,10","$0,00",06/07/2026,
248755,SULLAIR IMPORTADOS,SILENCIADOR,0,,,"$135,10","$0,00",06/07/2026,
7013301-JLG,SULLAIR,CONTACTOR CHANGE. P/30-40-45E,0,,,"$513,40","$0,00",06/07/2026,
P5113,ECHANIZ,FILTRO DE COMBUSTIBLE,0,,,,"$0,00",06/07/2026,
VP-1748,REPCENTER,FILTRO DE AIRE,0,,,,"$0,00",06/07/2026,
VP-1748/S,REPCENTER,FILTRO DE AIRE SECUNDARIO,0,,,,"$0,00",06/07/2026,
G-1316,REPCENTER,FILTRO DE COMBUSTIBLE,0,,,,"$0,00",06/07/2026,
FF5272,REPCENTER,FILTRO DE COMBUSTIBLE,0,,,,"$0,00",06/07/2026,
HF35305,REPCENTER,FILTRO HIDRAULICO,0,,,,"$0,00",06/07/2026,
HF9500,REPCENTER,FILTRO HIDRAULICO,0,,,,"$0,00",06/07/2026,
FS19914,REPCENTER,FILTRO DE COMBUSTIBLE,0,,,,"$0,00",06/07/2026,
LF3400,REPCENTER,FILTRO DE ACEITE,0,,,,"$0,00",06/07/2026,
LF16011,REPCENTER,FILTRO DE ACEITE,0,,,,"$0,00",06/07/2026,
FF149,REPCENTER,FILTRO DE COMBUSTIBLE,0,,,,"$0,00",06/07/2026,
VP-2709/S,REPCENTER,FILTRO DE AIRE SECUNDARIO,0,,,,"$0,00",06/07/2026,
250018-427,SULLAIR,CONECTOR 1/4 T x 1/8 NPT,0,,,"$12,20","$0,00",06/07/2026,
88290015-890,SULLAIR,FLTR V-TYPE P/SHOPTEK,0,,,"$42,90","$0,00",06/07/2026,
88290015-891,SULLAIR,TUBO 1/4 TRANSPARENTE P/ST,0,,,"$69,80","$0,00",06/07/2026,
68MR1600,SULLAIR,RESORTE THROTTLE VALVE,0,,,"$7,70","$0,00",06/07/2026,
68CJ0825,SULLAIR,O RING,0,,,"$5,30","$0,00",06/07/2026,
68723227,SULLAIR,ESLABON GIRATORIO,0,,,"$171,70","$0,00",06/07/2026,
68CJ0026,SULLAIR,O RING P/MPB-90A/60A,0,,,"$29,90","$0,00",06/07/2026,
68722579,SULLAIR,BUJE 1/14 HEX.,0,,,"$906,10","$0,00",06/07/2026,
68723244,SULLAIR,LEVA P/MART.,0,,,"$219,30","$0,00",06/07/2026,
68MR1301,SULLAIR,SPRING PLUNG,0,,250032-493,"$34,10","$0,00",06/07/2026,
68780320,SULLAIR,KIT ROLL PIN (2 PCS),0,,,"$60,90","$0,00",06/07/2026,
02250222-783,SULLAIR,ELECTROVALVULA RN250,0,,,"$587,70","$0,00",06/07/2026,
0140-4317,ONAN,ELEMENTO AIRE 1°,0,, AF25910-FLE,,"$0,00",06/07/2026,
0140-4318,ONAN,ELEMENTO AIRE 2°,0,,AF25911-FLE,,"$0,00",06/07/2026,
1001186466,SULLAIR,SENSOR TILT 1932R,0,,,"$993,40","$0,00",06/07/2026,
4360371,SULLAIR,SENSOR ,0,,,"$743,50","$0,00",06/07/2026,
179-9806,STAL,CAT,0,,,,"$0,00",06/07/2026,
EF-8033R,LANS,FILTRO DE AIRE,0,,,,"$0,00",06/07/2026,
EF-8034R,LANS,FILTRO DE AIRE,0,,,,"$0,00",06/07/2026,
´0937521,,,0,,,,"$0,00",06/07/2026,
1001146963-JLG,SULLAIR,SENSOR,0,,,"$545,70","$0,00",06/07/2026,
AF1638-FLE,FLEETGUARD,FILTRO DE AIRE,0,,,"$89,20","$0,00",06/07/2026,
122-0922-ONA,ONAN,FILTR DE ACEITE CON CABEZAL,0,,,"$18,10","$0,00",06/07/2026,
02250099-448,SULLAIR,BULBO CORTE DE TEMP.,0,,,"$337,50","$0,00",06/07/2026,
250041-801,SULLAIR,ACOPLE P/185Q JD U/C C/CHAVETA,0,,,"$2.766,10","$0,00",06/07/2026,
LXS37/1,,FILTRO DE AIRE SECUNDARIO,0,,,,"$0,00",06/07/2026,
02250177-150,SULLAIR,KIT VLV.CHECK P/S.20,0,,,"$890,60","$0,00",06/07/2026,
02250164-206,SULLAIR,CUBO DE ACOPLE LADO UNIDAD,0,,,"$504,00","$0,00",06/07/2026,
02250152-635,SULLAIR,CUBO DE ACOPLE LADO MOTOR,0,,,"$598,50","$0,00",06/07/2026,
7023543-JLG,JLG,VALVE PROPORTIONAL 2630ES,0,,,"$448,40","$0,00",06/07/2026,
1001186466,,SENSOR DUAL AXIS (OXC1),0,,,"$993,40","$0,00",06/07/2026,
02250097-349,SULLAIR,"VLV. SEGURIDAD 3/4""200",0,,,"$846,80","$0,00",06/07/2026,
02250223-411,SULLAIR,FLTR FUEL & H2O SEPARATOR,0,,,"$245,50","$0,00",06/07/2026,
02250220-866,SULLAIR,PUMP ELEC FUEL SUPPLY 12V,0,,,"$52,00","$0,00",06/07/2026,
140-4088-ONA,ONAN,ELEMENT FIL AIRE P/C22,0,,AF25904,"$36,70","$0,00",06/07/2026,
270016-419,SULLAIR,ELEM FILTRO COMB KUB 2403,0,,,"$92,00","$0,00",06/07/2026,
270016-627,SULLAIR,ELEM FILTRO ACEITE KUB 2403,0,,,"$58,00","$0,00",06/07/2026,
250024-272,SULLAIR,CILINDRO VELOCIDAD 3/4 X1,0,,,"$416,50","$0,00",06/07/2026,
7021581-JLG,SULLAIR,CUBIERTA IN240/55-17.5 P/E450A,0,,,"$549,60","$0,00",06/07/2026,
AH1135,FLEETGUARD,F.AIRE p/1000 kva,0,,EF-542,"$262,40","$0,00",06/07/2026,
4460467-JLG,SULLAIR,EXTRACTOR,0,,,"$4,80","$0,00",06/07/2026,
0400215-JLG,SULLAIR,BATERIA 6V 225 amp,0,,,"$264,00","$0,00",06/07/2026,
1318821,ITR - ITALIA,FILTRO DE AIRE SECUNDARIO CAT 320,0,,,,"$0,00",06/07/2026,
1318822,ITR - ITALIA,FILTRO DE AIRE PRIMARIO CAT 320,0,,,,"$0,00",06/07/2026,
1R1804,ITR - ITALIA,FILTRO ELEMENTO DE COMBUSTIBLE,0,,,,"$0,00",06/07/2026,
3223155,ITR - ITALIA,FILTRO ELEMENTO DE ACEITE MOTOR,0,,,,"$0,00",06/07/2026,
5I8670,ITR - ITALIA,FILTRO HIDRAULICO,0,,,,"$0,00",06/07/2026,
937521,ITR - ITALIA,FILTRO HIDRAULICO 320,0,,,,"$0,00",06/07/2026,
4385386,ITR - ITALIA,FILTRO DE COMBUSTIBLE,0,,,,"$0,00",06/07/2026,
B1806380-SAG,SULLAIR,PUNTA LAPIZ,0,,,"$1.038,60","$0,00",06/07/2026,
02250209-582,SULLAIR,MANGUERA,0,,,"$93,00","$0,00",06/07/2026,
´042988,SULLAIR,HOROMETRO,0,,,"$415,10","$0,00",06/07/2026,
191-2460-ONA,SULLAIR,MOTOR DE ARRANQUE,0,,,"$989,90","$0,00",13/07/2026,
AF25570,SULLAIR,FILTRO AIRE PRIMARIO,0,,,"$122,50","$0,00",06/07/2026,
AF25571,SULLAIR,FILTRO AIRE II° P/C150 D5,0,,,"$68,10","$0,00",06/07/2026,
270002-709,SULLAIR,VENTILADOR,0,,,"$256,90","$0,00",13/07/2026,
4954905-CMM,SULLAIR,SENSOR DE TEMP. QSK60/HSK78,0,,,"$13,60","$0,00",,
`001692,SULLAIR,TR.AGUA KIT (P/408389)S.20,0,,,"$154,00","$0,00",,
250018-008,SULLAIR,"CUBO ACOPLE 1 3/4""",0,,,"$643,20","$0,00",,
´000751,SULLAIR,CUBO ACOPLE SAGA 22 LM 60MM,0,,,"$820,80","$0,00",,
41992,SULLAIR,"ABRAZADERA A CREMALLERA 7""",0,,,"$61,90","$0,00",23/07/2026,
4360328S-JLG,SULLAIR,SWITCH TOGGLE,0,,,"$22,20","$0,00",23/07/2026,
02250183-035,SULLAIR,KIT SUPERVISOR CONTROLLER,0,,,"$6.422,60","$0,00",23/07/2026,
DZ120070,JONH DEERE,,1,,,,"$0,00",11/08/2026,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
,,,,,,,"$0,00",,
